trigram
warm heart San
Heights Octavia St.
This lovely quiet
Bart Station Access
nurses – inner
towels always 1
bath refurbished flat
Bus line Embarcadero
Located Bayview Parking
home carpeting upstairs
Gate Park UCSF
size kitchen stove
student hospital job
needing near hospital
UCSF 15 minutes
dream us thanks
deck amazing views
1 Kitchen center
plenty options restaurants
exaggerated living space
There washer dryer
bars Starbucks supermarkets
Wine bars Whole
bustling Polk St
floors sleigh bed
Francisco.This ideal location
Theater District This
bars Whole Food
large closet organizer
light furnished beds
hospital job relocated
San Francisco My
visiting nurses patients
equipped 14 bedrooms
home lot people
term staying Nice
bedroom shared bathroom
closet kitchen/living room
quiet floor large
7 minutes walk
Mary Hospital Room
union square powell
walking Convenient Very
San Francisco near
outside San Francisco
evening glass wine..
living space 1600-square
bathroom apartment kitchen
Nice public transportation
Park 2 bedroom/2
feature plush Serta
living utensils Our
furnished room San
large closet kitchen/living
cafes Union St.
internet This great
twice week Welcome
Bathroom shower tub
2 bath refurbished
faces back building
Located NOPA North
engineers students want
Bayview Parking street
shared bathroom well
twice week Upon
area located warm
Fi inner sunset
free use This
Smart TV Iron
Washington St steps
room Some House
near convenience stores
garage parking needed
sleigh bed faces
space mixed gender
fresh air 1/2
areas massive specious
queen bed large
floor large townhome
business people looking
air 1/2 block
blocks N Judah
taking downtown 1
3 bed/ 1
access private deck
families patients Excellent
bedroom unit perfect
room San Francisco
blocks popular boutiques
room/sink/Wi Fi inner
Excellent public transportation
bar cozy living-dining
room Large bedroom
living-dining room Large
Quiet Washington St
walk bus stops
This quiet home
street nearby lots
space short walk
sleek studio ready
15 minutes walk
No tourist transient
WiFi laptop friendly
look feel classic
laptop friendly Good
love • Modern
common areas massive
specious This space
accommodations San Francisco
Gate Park 2
UCSF map The
Oriental Supermarket 10
remodeled garden level
startup dream us
library within close
hardwood floors sleigh
• 24-hour front
house startup founders
This fully remodeled
steps bustling Polk
entrepreneurs also engineers
av/Irving newly remodeled
Parking street This
1/2 block T
We host entrepreneurs
San Francisco 1
bedroom nice clean
bustle downtown The
close walking Convenient
makes perfect spot
makes 2 bedroom
• Super-fast FREE
kiosk makes late
street This quiet
along private bathroom
